cadet number,lens number,shooting,accuracy
1,1,29.76151247,2.147787541
2,1,26.40551999,1.985730999
3,1,28.99946472,1.972161045
4,1,28.41896259,1.98995685
5,1,27.81617543,1.949468266
6,1,33.67378518,1.80623402
7,1,28.24055161,1.839739172
8,1,30.62880294,2.10932344
9,1,31.31669103,1.858561762
10,1,30.12943224,1.803802761
11,1,28.58879419,2.110432856
12,1,31.0557605,1.998280447
1,2,31.72345652,1.538517969
2,2,32.2894006,2.067080656
3,2,33.49921435,1.959479164
4,2,35.04704506,1.953809665
5,2,30.61945773,1.88809392
6,2,32.63583001,1.678189364
7,2,34.77689154,1.803311838
8,2,34.15047073,1.955774102
9,2,29.78186509,2.305052969
10,2,33.49691684,1.83210578
11,2,33.09378981,2.183343948
12,2,32.96761726,2.337289653
1,3,33.7367636,1.889492957
2,3,36.1117937,1.905560634
3,3,32.56652275,2.002427448
4,3,35.68586848,1.857851001
5,3,35.21563455,1.650394003
6,3,36.65474755,1.610079733
7,3,36.88545824,1.256835362
8,3,33.18305359,1.691524708
9,3,35.2914467,1.802959434
10,3,36.48852892,1.940404239
11,3,33.60839533,1.728228264
12,3,35.46924584,1.830008964
