"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"1","aardsda01",9,331,4,0,0,0,0,0,0,0,0,0,2,0,0,1
"2","aaronto01",7,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9
"3","aasedo01",13,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0
"4","abadan01",3,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0
"5","abadfe01",9,315,9,0,1,0,0,0,0,0,0,0,5,0,0,0
"6","abbotgl01",13,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","abbotje01",5,233,596,82,157,33,2,18,83,6,5,38,91,2,3,5
"8","abbotji01",12,263,21,0,2,0,0,0,3,0,0,0,10,0,0,3
"9","abbotku01",11,702,2044,273,523,109,23,62,242,22,11,133,571,11,17,21
"10","abbotky01",4,57,31,2,3,1,0,0,2,0,0,1,19,0,0,6
"11","abbotpa01",13,162,20,2,5,1,0,0,2,0,0,0,6,0,0,5
"12","abercre01",3,180,386,65,86,20,2,9,34,18,8,21,123,2,7,5
"13","abernbr01",6,232,868,97,212,36,5,8,79,21,7,60,93,1,7,16
"14","abernte02",21,681,181,12,25,3,0,0,9,0,0,6,74,0,2,15
"15","abnersh01",8,392,840,89,191,39,4,11,71,6,8,43,153,10,7,5
"16","abregjo01",1,6,9,0,0,0,0,0,1,0,0,0,2,0,0,0
"17","abreubo01",22,2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7
"18","abreujo02",3,458,1793,235,537,101,6,91,308,3,3,137,396,33,41,0
"19","abreuju01",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","abreuto01",6,224,579,61,147,39,6,6,60,2,4,22,116,2,5,1
"21","abreuwi01",5,38,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"22","accarje01",12,262,7,0,1,0,0,0,0,0,0,0,1,0,0,0
"23","aceveal01",7,204,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"24","acevejo01",5,104,101,2,8,2,0,0,4,0,0,5,61,0,1,12
"25","aceveju01",12,367,65,4,6,2,0,0,0,0,0,3,33,0,0,6
"26","achteaj01",3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","ackerji01",14,467,54,2,9,1,0,0,1,0,0,2,32,0,0,0
"28","ackerto01",4,153,77,10,5,0,0,0,2,0,0,12,46,0,1,6
"29","ackledu01",8,635,2125,261,512,94,18,46,216,31,12,194,419,10,5,11
"30","acklefr01",2,5,6,0,2,1,0,0,1,0,0,1,4,0,0,0
"31","acostcy01",4,107,7,0,0,0,0,0,0,0,0,0,6,0,0,0
