team_name,home_score,home_turnovers,away_score_q5,away_turnovers,first_down_sum,fourth_down_att_sum,fourth_down_conv_sum,passing_first_down_sum,rushing_first_down_sum,third_down_att_sum,third_down_conv_sum,third_down_failed_sum,off_penalty_yds_sum,def_penalty_sum,def_penalty_first_down_sum,def_penalty_yds_sum,first_downs_tot,yards_gained,defense_ast,defense_ffum,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_pass_def,defense_qbhit,defense_sk,defense_sk_yds,defense_tkl,defense_tkl_loss,defense_tds,fumbles_forced,fumbles_lost,fumbles_oob,fumbles_rec,fumbles_rec_yds,fumbles_tot,kicking_all_yds,kicking_fga,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_i20,kicking_tot,kicking_touchback,kicking_xpa,kicking_yds,kickret_ret,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_int,passing_sk,passing_sk_yds,passing_tds,passing_yds,punting_i20,punting_tot,punting_yds,puntret_fair,puntret_tot,puntret_yds,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,rushing_att,rushing_tds,rushing_yds,offense_yds,offense_tds,tot_turnovers,play_count,Wins,Losses
ARI,377,24,0,23,373,9,4,237,92,198,93,105,399,41,28,349,373,6527,151,21,14,2,52,19,4,263,68,100,35,-290,742,91,6,16,11,5,8,-7,24,3636,31,28,892,3,153,14,99,50,52,6445,32,776,563,353,3001,210,13,27,-159,35,4775,22,60,2575,22,39,289,353,551,35,1774,4775,452,16,1917,11460,86,24,3042,13,3
ATL,368,22,3,17,359,19,10,230,95,227,107,120,458,48,31,511,359,5943,241,11,8,2,105,15,1,220,62,71,19,-133,719,51,3,17,13,1,12,-46,26,3532,31,25,928,6,267,4,76,52,33,4875,26,667,621,410,2763,211,17,32,-220,21,4602,24,58,2735,20,27,255,410,617,21,1839,4602,420,13,1611,10769,56,30,3145,8,8
BAL,352,16,6,11,324,24,12,212,89,226,85,141,454,63,42,689,323,5727,294,7,7,1,41,6,1,51,66,86,38,-245,664,83,3,9,7,1,5,-22,13,4647,40,33,1213,7,361,5,74,63,26,4753,34,857,677,427,2336,250,21,24,-178,21,4462,29,74,3454,15,40,450,427,669,21,2078,4462,383,8,1478,10380,50,28,3244,5,11
BUF,377,19,0,11,297,16,7,155,122,227,86,141,682,61,37,567,297,5764,249,9,8,1,56,17,2,253,95,68,21,-125,706,52,3,20,10,2,15,-11,27,3070,27,23,858,4,182,19,84,42,37,5235,41,772,465,295,2327,170,9,42,-257,23,3600,22,82,3797,22,31,232,295,462,23,1269,3600,509,19,2432,9621,65,19,3042,8,8
CAR,436,17,3,15,357,10,6,197,136,203,86,117,382,51,26,490,357,5920,336,22,15,0,27,24,4,301,85,102,44,-318,690,86,4,7,9,0,3,47,12,5113,36,30,1110,6,269,13,103,69,55,6757,22,407,502,300,2389,202,10,33,-284,35,3873,20,70,3173,25,30,282,300,495,35,1484,3873,526,19,2282,10075,90,19,3158,15,1
CHI,348,11,6,25,312,10,6,177,108,219,93,126,454,42,22,455,312,5502,178,6,9,0,0,8,0,103,54,90,35,-250,720,58,0,11,9,2,7,-12,18,2807,39,33,1253,6,258,15,83,39,29,5003,33,892,523,334,2010,189,12,33,-180,21,3843,29,73,3233,22,31,242,334,519,21,1837,3843,469,13,1851,9525,55,21,2970,6,10
CIN,338,14,0,20,324,12,7,191,99,201,81,120,480,48,31,437,324,5675,307,10,7,0,46,21,1,202,87,101,42,-306,717,71,1,7,8,1,8,-60,17,3026,28,23,856,5,221,20,89,42,48,5786,34,700,505,334,2321,171,9,31,-180,31,4104,22,68,3116,12,43,350,334,495,31,1783,4104,468,18,1804,9952,80,17,3098,12,4
CLE,380,25,6,23,307,24,10,192,81,227,95,132,493,54,31,590,307,5309,327,14,10,0,47,11,2,210,52,64,29,-171,685,63,2,23,18,2,9,-4,28,1898,32,28,935,4,191,13,70,27,22,4420,41,1041,609,371,2135,238,12,53,-374,20,4156,25,70,3270,10,29,325,371,601,20,1978,4156,381,5,1529,9837,45,30,3140,3,13
DAL,300,18,6,21,307,16,8,175,94,191,66,125,449,48,32,433,307,5355,333,6,3,0,5,8,1,62,53,75,31,-253,692,79,2,14,11,1,6,-4,17,2582,32,30,1076,2,98,8,73,49,23,4620,29,704,529,334,1899,195,22,33,-206,16,3677,27,69,3114,21,33,183,334,519,16,1778,3677,408,8,1888,9238,40,33,3001,4,12
DEN,321,13,3,17,314,14,7,201,85,224,79,145,326,75,46,737,314,5685,227,22,13,1,19,14,4,321,87,118,51,-361,733,83,5,11,8,0,8,-3,16,4042,35,30,1073,5,244,6,82,55,30,5109,27,588,606,368,2360,238,23,39,-246,19,4216,22,85,3704,26,29,283,368,604,19,1856,4216,411,13,1718,10147,51,31,3198,12,4
DET,404,23,0,10,337,14,7,236,71,203,75,128,397,56,32,534,336,5544,216,14,10,1,28,9,1,103,62,95,42,-306,770,97,2,11,11,2,6,-5,18,2916,24,22,892,2,92,14,77,40,37,4827,45,1220,632,420,1981,212,14,44,-251,33,4463,25,80,3679,22,30,209,420,623,33,2482,4463,354,7,1336,10257,73,25,3165,7,9
GB,372,11,0,12,317,21,11,173,100,208,70,138,517,42,21,389,317,5338,222,10,7,0,21,16,2,198,71,94,43,-286,743,86,2,20,9,2,13,-16,24,2942,28,24,879,4,186,12,81,41,34,5106,37,881,573,348,1865,225,8,47,-322,31,3825,18,81,3554,23,31,167,348,565,31,1960,3825,436,8,1850,9484,71,17,3137,10,6
HOU,351,16,0,12,335,19,6,210,90,249,96,153,461,49,29,449,335,5568,310,11,11,1,72,14,2,180,90,98,44,-338,687,83,3,19,8,0,14,0,22,2410,27,23,817,4,202,11,76,33,33,4881,18,430,619,358,2736,261,12,36,-246,29,4079,24,96,4533,23,52,377,358,614,29,1343,4079,472,7,1731,9889,65,20,3320,9,7
IND,401,13,3,19,311,13,7,195,77,235,94,141,401,55,32,530,311,5141,328,13,8,1,31,17,4,196,76,82,35,-251,686,77,5,14,11,1,7,-1,19,4900,27,25,961,2,81,3,77,67,30,4832,43,1047,619,355,2286,264,19,37,-224,26,3928,28,85,4052,28,39,266,355,604,26,1642,3928,396,6,1438,9293,58,30,3227,8,8
JAC,461,17,0,13,313,16,8,215,69,205,72,133,335,61,38,545,313,5523,251,14,9,2,55,9,1,120,71,69,36,-267,767,84,3,14,10,2,13,-51,25,3911,30,26,908,4,171,12,84,55,35,5208,31,721,607,355,2534,252,18,52,-321,35,4428,26,80,3700,16,31,361,355,601,35,1894,4428,354,5,1460,10265,75,28,3154,5,11
KC,349,23,0,13,303,9,6,155,116,199,76,123,384,56,34,494,303,5298,165,12,7,2,72,22,4,477,94,76,47,-296,744,81,6,10,8,0,7,-1,15,2883,37,30,1127,7,346,19,90,40,36,5721,35,791,473,310,1543,163,7,45,-235,20,3493,37,75,3333,8,45,355,310,463,20,1953,3493,437,19,2041,9026,59,15,2889,11,5
MIA,356,18,0,18,291,22,8,194,72,205,63,142,482,70,36,608,291,5292,268,8,3,0,40,13,3,184,70,83,31,-252,785,92,3,14,7,4,12,-15,23,3214,16,13,452,3,151,5,72,44,33,4391,43,958,589,366,2384,223,12,45,-420,24,4233,30,92,4360,17,40,424,366,582,24,1848,4233,343,11,1494,9945,59,19,3185,6,10
MIN,343,21,0,21,297,11,5,153,113,199,76,123,275,54,35,522,297,5138,187,10,9,1,83,13,2,215,64,104,43,-321,795,76,3,13,8,2,10,-2,20,3481,39,34,1264,5,225,10,87,47,33,5695,42,1190,454,294,1444,160,9,45,-318,14,3246,23,66,2746,15,34,311,294,443,14,1802,3246,474,18,2211,8701,46,17,2919,11,5
NE,426,22,0,18,348,15,9,230,87,215,88,127,466,39,22,394,348,5995,306,23,10,2,26,12,0,176,80,88,49,-376,703,73,2,12,7,1,6,0,14,4820,36,33,1269,3,148,15,101,69,50,6299,26,469,629,404,2372,225,7,38,-225,36,4812,31,73,3338,18,47,473,404,624,36,2440,4812,383,14,1404,11028,86,14,3259,12,4
NO,482,16,6,14,383,16,10,247,99,217,103,114,440,71,54,672,382,6472,294,17,13,1,44,9,0,87,69,60,30,-205,695,55,2,16,9,0,9,0,18,3199,26,18,636,8,335,6,82,44,44,5311,28,605,667,461,2610,206,11,32,-235,32,5213,25,67,3007,13,32,275,461,664,32,2586,5213,396,16,1489,11915,80,20,3262,7,9
