,playerID,yearID,teamID,lgID.x,inseason,G.x,W.x,L.x,rank,plyrMgr,Glast2,Wlast2,Llast2,PercentLast2,Glast3,Wlast3,Llast3,PercentLast3,totalgames,totalwins,totalloss,totalavgrank,totalseasons,lgID.y,franchID,divID,Rank,G.y,Ghome,W.y,L.y,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,Fired,startyear,labeller,censor
1,ausmubr01,2016,DET,AL,1,161,86,75,2,N,322,160,162,0.49689441,484,250,234,0.516528926,484,250,234,2.666666667,3,AL,DET,C,2,161,81,86,75,N,N,N,N,750,5526,1476,252,30,211,493,1303,58,29,53,38,721,672,4.24,3,8,47,4284,1417,182,462,1232,75,148,0.987,Detroit Tigers,Comerica Park,2493859,101,101,DET,DET,DET,FALSE,2014,ausmubr01 DET,0
2,bakerdu01,2016,WAS,NL,1,162,95,67,1,N,NA,NA,NA,0.586419753,NA,NA,NA,0.586419753,162,95,67,1,1,NL,WSN,E,1,162,81,95,67,Y,N,N,N,763,5490,1403,268,29,203,536,1252,121,39,64,63,612,570,3.51,1,12,46,4379,1272,155,468,1476,73,142,0.988,Washington Nationals,Nationals Park,2481938,100,98,WSN,MON,WAS,FALSE,2016,bakerdu01 WAS,0
3,banisje01,2016,TEX,AL,1,162,95,67,1,N,324,183,141,0.564814815,NA,NA,NA,0.564814815,324,183,141,1,2,AL,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,FALSE,2015,banisje01 TEX,0
4,bochybr01,2016,SFN,NL,1,162,87,75,2,N,324,171,153,0.527777778,486,259,227,0.532921811,1620,838,782,2.5,10,NL,SFG,W,2,162,81,87,75,N,Y,N,N,715,5565,1437,280,54,130,572,1107,79,36,42,46,631,593,3.65,10,11,43,4381,1334,158,439,1309,72,136,0.988,San Francisco Giants,AT&T Park,3365256,103,102,SFG,SFN,SFN,FALSE,2007,bochybr01 SFN,0
5,cashke01,2016,TBA,AL,1,162,68,94,5,N,324,148,176,0.456790123,NA,NA,NA,0.456790123,324,148,176,4.5,2,AL,TBD,E,5,162,81,68,94,N,N,N,N,672,5481,1333,288,32,216,449,1482,60,37,69,28,713,665,4.2,1,8,42,4279,1395,210,491,1357,94,129,0.984,Tampa Bay Rays,Tropicana Field,1286163,93,94,TBR,TBA,TBA,FALSE,2015,cashke01 TBA,0
6,collite99,2016,NYN,NL,1,162,87,75,2,N,324,177,147,0.546296296,486,256,230,0.526748971,972,481,491,2.833333333,6,NL,NYM,E,2,162,81,87,75,N,Y,N,N,671,5459,1342,240,19,218,517,1302,42,18,62,41,617,574,3.57,1,13,55,4341,1397,152,439,1396,90,138,0.985,New York Mets,Citi Field,2789602,102,102,NYM,NYN,NYN,FALSE,2011,collite99 NYN,0
7,counscr01,2016,MIL,NL,1,162,73,89,4,N,299,134,165,0.448160535,NA,NA,NA,0.448160535,299,134,165,4,2,NL,MIL,C,4,162,81,73,89,N,N,N,N,671,5330,1299,249,19,194,599,1543,181,56,37,39,733,650,4.08,0,7,46,4303,1450,178,532,1175,136,145,0.978,Milwaukee Brewers,Miller Park,2314614,99,99,MIL,ML4,MIL,FALSE,2015,counscr01 MIL,0
8,farrejo03,2016,BOS,AL,1,162,93,69,1,N,324,171,153,0.527777778,486,242,244,0.497942387,648,339,309,3,4,AL,BOS,E,1,162,81,93,69,Y,N,N,N,878,5670,1598,343,25,208,558,1160,83,24,43,40,694,640,4,9,5,43,4319,1342,176,490,1362,75,139,0.987,Boston Red Sox,Fenway Park II,2955434,108,106,BOS,BOS,BOS,FALSE,2013,farrejo03 BOS,0
9,francte01,2016,CLE,AL,1,161,94,67,1,N,322,175,147,0.543478261,484,260,224,0.537190083,646,352,294,2.25,4,AL,CLE,C,1,161,80,94,67,Y,N,Y,N,777,5484,1435,308,29,185,531,1246,134,31,49,60,676,617,3.84,5,11,37,4335,1330,186,461,1398,89,126,0.985,Cleveland Indians,Progressive Field,1591667,110,109,CLE,CLE,CLE,FALSE,2013,francte01 CLE,0
10,gibbojo02,2016,TOR,AL,1,162,89,73,2,N,324,182,142,0.561728395,486,265,221,0.54526749,1258,644,614,3.222222222,9,AL,TOR,E,2,162,81,89,73,N,Y,N,N,759,5479,1358,276,18,221,632,1362,54,24,55,40,666,613,3.78,0,10,43,4378,1340,183,461,1314,88,144,0.986,Toronto Blue Jays,Rogers Centre,3392099,111,110,TOR,TOR,TOR,FALSE,2008,gibbojo02 TOR,0
11,girarjo01,2016,NYA,AL,1,162,84,78,4,N,324,171,153,0.527777778,486,255,231,0.524691358,1458,819,639,2.111111111,9,AL,NYY,E,4,162,81,84,78,N,N,N,N,680,5458,1378,245,20,183,475,1188,72,22,42,49,702,660,4.16,0,10,48,4285,1358,214,444,1393,86,116,0.985,New York Yankees,Yankee Stadium III,3063405,105,105,NYY,NYA,NYA,FALSE,2008,girarjo01 NYA,0
12,gonzafr99,2016,ATL,NL,1,37,9,28,5,N,199,76,123,0.381909548,361,155,206,0.429362881,847,434,413,2.666666667,6,NL,ATL,E,5,161,81,68,93,N,N,N,N,649,5514,1404,295,27,122,502,1240,75,34,59,52,779,725,4.51,1,9,39,4343,1414,177,547,1227,101,134,0.983,Atlanta Braves,Turner Field,2020914,102,104,ATL,ATL,ATL,TRUE,2011,gonzafr99 ATL,0
13,greenan01,2016,SDN,NL,1,162,68,94,5,N,NA,NA,NA,0.419753086,NA,NA,NA,0.419753086,162,68,94,5,1,NL,SDP,W,5,162,81,68,94,N,N,N,N,686,5419,1275,257,26,177,449,1500,125,45,58,36,770,708,4.43,1,9,35,4320,1425,183,569,1222,109,165,0.982,San Diego Padres,Petco Park,2351422,99,99,SDP,SDN,SDN,FALSE,2016,greenan01 SDN,0
14,halech01,2016,ARI,NL,1,162,69,93,4,N,324,148,176,0.456790123,NA,NA,NA,0.456790123,324,148,176,3.5,2,NL,ARI,W,4,162,81,69,93,N,N,N,N,752,5665,1479,285,56,190,463,1427,137,31,50,38,890,821,5.09,2,7,31,4354,1563,202,603,1318,101,143,0.983,Arizona Diamondbacks,Chase Field,2036216,107,108,ARI,ARI,ARI,FALSE,2015,halech01 ARI,0
15,hinchaj01,2016,HOU,AL,1,162,84,78,3,N,324,170,154,0.524691358,NA,NA,NA,0.524691358,324,170,154,2.5,2,AL,HOU,W,3,162,81,84,78,N,N,N,N,724,5545,1367,291,29,198,554,1452,102,44,47,31,701,663,4.06,2,8,44,4404,1441,181,453,1396,77,135,0.987,Houston Astros,Minute Maid Park,2306623,90,89,HOU,HOU,HOU,FALSE,2015,hinchaj01 HOU,0
16,hurdlcl01,2016,PIT,NL,1,162,78,83,3,N,324,176,147,0.543209877,486,264,221,0.543209877,972,509,462,2.833333333,6,NL,PIT,C,3,162,81,78,83,N,N,N,N,729,5542,1426,277,32,153,561,1334,110,45,81,36,758,679,4.21,5,5,51,4352,1490,180,533,1232,111,172,0.982,Pittsburgh Pirates,PNC Park,2249201,100,101,PIT,PIT,PIT,FALSE,2011,hurdlcl01 PIT,0
17,mackape01,2016,PHI,NL,1,162,71,91,4,N,250,108,142,0.432,NA,NA,NA,0.432,250,108,142,4.5,2,NL,PHI,E,4,162,81,71,91,N,N,N,N,610,5434,1305,231,35,161,424,1376,96,45,58,30,796,739,4.63,4,12,43,4311,1468,213,466,1299,97,142,0.984,Philadelphia Phillies,Citizens Bank Park,1915144,91,93,PHI,PHI,PHI,FALSE,2015,mackape01 PHI,0
18,maddojo99,2016,CHN,NL,1,162,103,58,1,N,324,200,153,0.617283951,NA,NA,NA,0.617283951,324,200,153,2,2,NL,CHC,C,1,162,81,103,58,Y,N,Y,Y,808,5503,1409,293,30,199,656,1339,66,34,96,37,556,511,3.15,5,15,38,4379,1125,163,495,1441,101,116,0.983,Chicago Cubs,Wrigley Field,3232420,95,93,CHC,CHN,CHN,FALSE,2015,maddojo99 CHN,0
