"","playerID","yearID","teamID","lgID","inseason","G","W","L","rank","plyrMgr","Glast2","Wlast2","Llast2","PercentLast2","Glast3","Wlast3","Llast3","PercentLast3","totalgames","totalwins","totalloss","totalavgrank","totalseasons"
"1","actama99",2010,"CLE","AL",1,162,69,93,4,"N",NA,NA,NA,0.425925925925926,NA,NA,NA,0.425925925925926,480,214,266,3.66666666666667,3
"2","actama99",2011,"CLE","AL",1,162,80,82,2,"N",324,149,175,0.459876543209877,NA,NA,NA,0.459876543209877,480,214,266,3.66666666666667,3
"3","actama99",2012,"CLE","AL",1,156,65,91,5,"N",318,145,173,0.455974842767296,480,214,266,0.445833333333333,480,214,266,3.66666666666667,3
"4","actama99",2007,"WAS","NL",1,162,73,89,4,"N",NA,NA,NA,0.450617283950617,NA,NA,NA,0.450617283950617,410,158,252,4.66666666666667,3
"5","actama99",2008,"WAS","NL",1,161,59,102,5,"N",323,132,191,0.408668730650155,NA,NA,NA,0.408668730650155,410,158,252,4.66666666666667,3
"6","actama99",2009,"WAS","NL",1,87,26,61,5,"N",248,85,163,0.342741935483871,410,158,252,0.385365853658537,410,158,252,4.66666666666667,3
"7","adairbi99",1970,"CHA","AL",2,10,4,6,6,"N",NA,NA,NA,0.4,NA,NA,NA,0.4,10,4,6,6,1
"8","adcocjo01",1967,"CLE","AL",1,162,75,87,8,"N",NA,NA,NA,0.462962962962963,NA,NA,NA,0.462962962962963,162,75,87,8,1
"9","addybo01",1877,"CN1","NL",2,24,5,19,6,"Y",NA,NA,NA,0.208333333333333,NA,NA,NA,0.208333333333333,24,5,19,6,1
"10","addybo01",1875,"PH2",NA,2,7,3,4,5,"Y",NA,NA,NA,0.428571428571429,NA,NA,NA,0.428571428571429,7,3,4,5,1
"11","allenbo01",1900,"CIN","NL",1,144,62,77,7,"Y",NA,NA,NA,0.430555555555556,NA,NA,NA,0.430555555555556,144,62,77,7,1
"12","allenbo01",1890,"PHI","NL",4,35,25,10,3,"Y",NA,NA,NA,0.714285714285714,NA,NA,NA,0.714285714285714,35,25,10,3,1
"13","allisdo01",1873,"ELI",NA,1,23,2,21,8,"N",NA,NA,NA,0.0869565217391304,NA,NA,NA,0.0869565217391304,23,2,21,8,1
"14","alomasa02",2012,"CLE","AL",2,6,3,3,5,"N",NA,NA,NA,0.5,NA,NA,NA,0.5,6,3,3,5,1
"15","aloufe01",1992,"MON","NL",2,125,70,55,2,"N",NA,NA,NA,0.56,NA,NA,NA,0.56,1408,691,717,3.3,10
