Years of Service,Pay,Gender,Hair Color
1,41083.43665,M,brown
1,42899.16292,M,blond
1,42986.45553,F,brown
2,42823.91494,M,black
2,44064.6618,F,black
3,47357.14262,M,brown
3,45476.88862,M,black
3,46420.72675,F,black
3,45317.05193,F,brown
3,48534.4473,F,blond
4,49102.12729,M,brown
4,48376.34955,M,black
4,48159.19065,F,blond
4,48518.4493,F,blond
6,57524.90874,M,blond
6,51828.64948,M,black
6,55826.62115,M,blond
6,52317.27507,M,black
9,65372.7622,M,brown
9,51566.75577,F,brown
10,60508.37906,M,brown
10,60399.10645,F,blond
12,66015.2196,M,black
12,66494.74352,F,black
12,64453.73131,F,brown
13,66391.38171,M,brown
13,73013.49139,F,brown
14,62762.18163,M,blond
14,62355.71172,M,brown
15,69866.67589,M,black
15,58175.91473,F,black
15,85332.85157,F,blond
15,63788.20618,F,black
16,52000.02225,M,black
16,63028.52123,M,blond
17,75578.81384,M,blond
17,63015.93349,M,red
17,71318.47677,M,red
18,85712.92716,F,blond
19,88141.09498,M,blond
19,92112.4011,M,blond
19,69536.4212,F,blond
20,89483.39918,M,brown
20,59794.61537,M,red
20,89074.68544,F,blond
20,76222.85261,F,red
23,75303.48321,F,red
24,95452.92188,M,red
24,96908.0536,M,red
25,52835.89997,M,brown
